iter	Passed	Remaining
0	136	136300
1	137	68751
2	139	46218
3	140	34945
4	141	28178
5	142	23665
6	144	20435
7	145	18013
8	146	16139
9	147	14640
10	149	13437
11	150	12421
12	152	11558
13	153	10826
14	155	10185
15	156	9616
16	157	9110
17	158	8673
18	160	8273
19	161	7921
20	163	7637
21	165	7342
22	166	7073
23	168	6832
24	169	6604
25	170	6391
26	171	6196
27	173	6012
28	174	5843
29	175	5685
30	177	5545
31	178	5405
32	180	5275
33	181	5156
34	182	5041
35	184	4929
36	185	4830
37	186	4731
38	188	4637
39	189	4547
40	190	4465
41	192	4390
42	193	4315
43	195	4243
44	196	4172
45	198	4110
46	199	4046
47	201	3987
48	202	3929
49	203	3871
50	205	3817
51	206	3764
52	207	3712
53	209	3663
54	210	3616
55	211	3571
56	213	3529
57	214	3485
58	216	3447
59	217	3407
60	219	3373
61	220	3339
62	222	3302
63	223	3264
64	224	3229
65	225	3195
66	227	3164
67	227	3124
68	229	3094
69	230	3065
70	232	3035
71	233	3006
72	234	2979
73	236	2954
74	237	2926
75	238	2898
76	239	2871
77	240	2845
78	242	2821
79	243	2797
80	244	2775
81	246	2754
82	247	2734
83	248	2714
84	249	2691
85	251	2672
86	252	2648
87	253	2630
88	255	2610
89	256	2591
90	257	2573
91	259	2557
92	260	2538
93	261	2520
94	263	2505
95	264	2491
96	266	2476
97	267	2461
98	268	2446
99	270	2433
100	271	2420
101	272	2400
102	274	2386
103	275	2373
104	277	2363
105	278	2349
106	280	2337
107	281	2325
108	282	2312
109	284	2301
110	286	2290
111	287	2279
112	288	2266
113	290	2255
114	291	2244
115	292	2232
116	294	2221
117	295	2210
118	296	2197
119	298	2185
120	299	2175
121	300	2164
122	301	2149
123	302	2139
124	304	2129
125	305	2119
126	306	2109
127	307	2097
128	309	2088
129	311	2081
130	312	2073
131	314	2065
132	315	2058
133	317	2051
134	318	2043
135	320	2034
136	321	2025
137	322	2015
138	324	2008
139	326	2002
140	327	1994
141	328	1987
142	330	1979
143	331	1971
144	333	1963
145	334	1955
146	335	1948
147	337	1941
148	339	1936
149	340	1928
150	341	1920
151	342	1913
152	344	1907
153	346	1900
154	347	1894
155	348	1887
156	350	1881
157	351	1874
158	353	1868
159	354	1860
160	355	1854
161	357	1849
162	359	1844
163	360	1839
164	362	1833
165	363	1827
166	365	1821
167	366	1816
168	368	1810
169	369	1804
170	371	1799
171	372	1793
172	373	1787
173	375	1781
174	376	1774
175	377	1768
176	378	1761
177	380	1755
178	381	1749
179	382	1742
180	383	1734
181	384	1727
182	385	1721
183	386	1715
184	388	1710
185	389	1704
186	390	1697
187	391	1691
188	392	1686
189	394	1679
190	395	1673
191	396	1667
192	397	1662
193	398	1656
194	399	1650
195	401	1645
196	402	1639
197	403	1634
198	404	1628
199	405	1623
200	407	1617
201	408	1612
202	409	1606
203	410	1601
204	411	1596
205	412	1591
206	414	1586
207	415	1582
208	416	1577
209	418	1573
210	419	1568
211	420	1563
212	421	1558
213	423	1553
214	424	1548
215	425	1544
216	426	1539
217	427	1534
218	429	1530
219	430	1526
220	432	1522
221	433	1519
222	434	1515
223	436	1511
224	437	1506
225	438	1503
226	440	1499
227	441	1495
228	442	1490
229	444	1487
230	445	1483
231	447	1479
232	448	1475
233	449	1472
234	451	1468
235	452	1464
236	453	1460
237	454	1456
238	456	1452
239	457	1449
240	459	1445
241	460	1441
242	461	1437
243	463	1434
244	464	1431
245	466	1428
246	467	1424
247	468	1420
248	469	1416
249	471	1413
250	472	1410
251	473	1406
252	475	1403
253	476	1399
254	477	1396
255	479	1393
256	480	1389
257	482	1386
258	483	1383
259	485	1380
260	486	1376
261	487	1373
262	489	1370
263	490	1367
264	491	1364
265	493	1360
266	494	1357
267	495	1353
268	496	1350
269	498	1347
270	499	1344
